question	answer
I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?	you can also extend your tourist visa but very costly as compared with extending a family visit visa. maybe what you can do is exit from qatar then; after three months; apply again for a family visit visa (if you have a relative here)
I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?	you can extend a family visit visa for a maximum six months; but in any case that you have to extend it again after your 6 months limit; you can do that; too. i think upto 1 month; more. you just have to submit application form again to immigration with your flight booking details.
I'm currently in Doha on a 3 month Visit Visa. Anybody can please tell me; whether I can extend this futher more; maximum of how many months?	you guys are mixing Family visit visa and Tourist visit visa. Family visit visa (when you were sponsored by one of your family member)initially is valid for 1 month; and can be extended later for another 5 months (total 6 months stay) after undergoing Medical examination. Tourist visit visa is is valid for 30 days and can be extended for another 30 days ; 60 days stay in total.
Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!	Yes you can extend till another 3 months to complete 6 Months as a total since she arrives in Qatar.
Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!	Yes you can extend her visa for another 3 months to complete 6 months since she arrives in Qatar .
Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!	The above information is not correct. 6 Months Visit visa is only for your direct relatives(blood Relation) if its your wife's relative then its only 3 months; and if you go request for 1 more month showing a ticket they might grant you.
Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!	It is correct. 3 mnths for indirect relation and later a month extension after showing a ticket. Go to the Main Immigration.
Dear All; I would like to ask some help/advice from you regarding my sister's in law visa; she is under my sponsorship (family visit visa) and her visa will be expired on Nov.17;2012 (3months from the time she arrive in Doha). My question is; can I still extend her visa for another (1)one month? Please help and advice! Thank you!	This NOT new rule it indeed old rules. niece or nephew is consider as direct relatives but sister in law is falls under indirect relatives of yours as she is the sister of your wife. @sms09...you are correct.! anyhow you can still extend her visa of 1 month provided air ticket to the immigration officer; without ticket then sorry to say...no EXTENSION.. Note: if u r kabayan...then PM me..i will tell u best solution for that.
Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....	Yes; Return Ticket is required to show at immigration section in your country itself
Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....	not to enter into qatar. maybe to leave ur home country as jotish said; but once in qatar; it's not needed; not even to extend the visit visa to up to 6 months; u won't need it. don't forget; in case u want to extend the visit visa; to make the blood and x-ray; than the extension procedure BEFORE; 26th of february. may they have a nice stay.
Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....	No return ticket is needed for Residency Visit Visa (once again you make it sure with ticket booking agency - ie Akabar/riya or what ever) For your Mother return Ticket is necessary
Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....	Dear if it is visit visa return ticket will b necessary for them to come out their country and also to come in to this country. even if u go to buy them ticket they wont give u one way as its visit visa n nt residence visa.. so the better choice if u have a friend working in any agency like etihad or anything try to ask him to provide u two ways ticket then u will pay only one ticket and other ticket will be canceled once ure family reach qatar i mean u will call him n ask him to cancel it once they r here. thats wht my husband did for me.. hope this answer wil help u out.. wish nice trip for ure family.
Return ticket required for the Family visit visa ? My family coming on 26th January in visit visa; do they need return ticket to enter into the qatar ? .. Kindly reply....	no. visit visa do not need tickets. neither one way nor return. i always get my visitors visa first; than tell them to book their flight. VISIT VISA DO NOT REQUIRE TICKETS. now to come to qatar by plane; u need tickets; if by land or sea; donno!!!
Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.	as what i know multiple entry visit visa only for british... as for the documents required for each visa are available on www.gov.qa
Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.	Usually Visit Visas; are of two types 1.Simple Visit Visa; Extendable upto Six months 2. Business Visit Visa- extendable upto 3 months but both the types are valid for single entry and exit only; if you have passport from indian subcontinent or east Asia. Not confirmed about the EU Passports. For detailed info visit: moi.gov.qa
Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.	"""Zouheirn; don't stir a sh*t! Single entry visas for ALL """"passports"""". Don't say nonsense.. Why out of ALL nationalities the exception would be made only for UK? Citizens of 34 western countries can obtain a visa upon arrival; without prior application; but more or less the same rule applies to the entire world; not only in Qatar. ravi.shock; in order to obtain a visit visa (only Single entry; like everyone!); you have to have relatives here; who can sponsor you. They should know the requirements. Otherwise you can apply through the Hotel."""
Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.	To sound like a expert . I know for a fact there are only 33 countries that can get upon arrival visit visa Americans are one; it is renewal for 1extra month. Then you must leave Qatar and re enter on new visa. I have been here 10 months; there is no multiple entry visa for Qatar. I had to leave 2 times in 6 months for a few hours to Bahrain until my family visit visa was approved for 6 months. Then work visa.
Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.	Yes; there is a multiple entry visa. Once you arrive the country; you should do the medical test; after you go the obtain a return back visa if you want to leave the country and return back with the same visa visa.
Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.	Dear Zeos11 is 100% correct;; i had an experiences; you have to do from any pasport office pay 200Qr before departure;so you can re-enter to Qatar up to the validity of visa Best Luck
Is there any option of Multiple Entry Visit Visa for Qatar? Someone is saying; there is only Single Entry visa option. Also; where can i find the list of required documents as I couldn't see any such document in moi.gov.qa website.	Qatarisun before you come all the way shouting and trying to be a smart look up for what he was asking :) not a single visa his asking for a Multiple entry Visit Visa if you only know what is it :) and yes its only for British valid for 5 years. theres multiple entry visa. business visit visa tourist visa envestor visa working visa and on arrival visa which is for 33 countries and many more kind of visas but he was asking for multiple entry visa you dumb qatarisun
Hello everyone; I'm already here in Qatar a month ago under business visa with my sponsor. Do I still need an NOC in order to apply for another company here in Qatar if ever I decide to go home on the 3 month period of the business visa? Thanks.	Yes you indeed need an NOC in Original if you need to go back and come back to Qatar Basically You will need Old NOC as well as New NOC from the current employer you have arrived her. Regards Felix Pereira
Hello everyone; I'm already here in Qatar a month ago under business visa with my sponsor. Do I still need an NOC in order to apply for another company here in Qatar if ever I decide to go home on the 3 month period of the business visa? Thanks.	why is that so? business visa is good as visit visa right? as long as I have exit stamp with my business visa on that 3 month grace period; I guess there will be no problem if I go back to my country and look again for another employer who will possibly give me a working visa. NOC is only applicable if you had a working visa I supposed.
Hello everyone; I'm already here in Qatar a month ago under business visa with my sponsor. Do I still need an NOC in order to apply for another company here in Qatar if ever I decide to go home on the 3 month period of the business visa? Thanks.	brattykharz u are absolutely right. U can apply for a job. And if u find an employer they will process ur visa from business to work visa. U only need NOC if u want to transfer to another employer after one year service to ur 1st employer.
Hello everyone; I'm already here in Qatar a month ago under business visa with my sponsor. Do I still need an NOC in order to apply for another company here in Qatar if ever I decide to go home on the 3 month period of the business visa? Thanks.	if your current employer didn't transfer your business visa to working visa then u still had a chance to discontinue the work and exit Doha. You just need to have an exit permit from the sponsor of business visa. But if you already had a medical from your current employer then it means that they already applied the change of your visa even if the RP card is not yet given to you and you will be ban for 2 years if you exit Doha. Mostly companies here are not giving NOC; so think twice before you decide.
I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?	A big NO as you are not in Qatar. Do you have any outstanding loans?
I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?	Nothing to worry. The sad part is you cannot come to Qatar for 2 years.
I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?	Yes you can come on your Husband sponsor after 6 months.
I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?	on whom sponsorship are you; husband or company?if you are on husband sponsorship; there is nothing to worry about; he needs to apply for extension for your stay outside qatar post 6 months.but you can return without any hassles. if you are on company sponsorship; then its not so simple.
I'm outside of Qatar for 5 months now; I filed a resignation to my company but they did not allow me. I had to take an emergency leave because of some issues in my homeland. I'm aware that the visa/rp will be cancelled after 6 months of being outside the country but can my employer file an absconding case against me on the ground of non-returning from emergency leave?	MM; you have been on a long emergency leave; normally a leave would be for one month; did you officially request your company that they extend your leave to cover this 5 month period that you have been out of the country or has it been absence without permission. do you have email communications etc supporting your request. hope you have a copy of the resignation letter that you had sent to them and the rejection. i am not sure about the rules applicable for a company sponsored individual to come on husband sponsor within the year.
Can my sponsor cancel my visa even without my passport? Thank you guys...	the RP ID (together with your passport) should be submitted to the Immigration to cancel it. HOWEVER ; THEY(your sponsor) can report you to the CID as absconding/absconded to release them of any responsibility of you. When they get that clearance from the authorities; they will no longer issue you an NOC letter; and may even report your whereabouts to the police and have you deported. That would be the worst scenario. This happened to someone I know 2 years ago. I'm not sure if the procedure changed.
I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?	No new rules if you can't get a NOC to transfer your RP. Yes; there is a way to work again here - wait out the 2 year ban
I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?	No ban for tourist visa
I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?	No ban for Tourist visa; You can come next day if you like.
I just want to ask if there is new rules about the ban in Qatar;once you are cancelled. Is there any ways to comeback and seek for a job again?	6 months ban without NOC could be possible? Please read & comments. However; the law makes it illegal for sponsors and employers to retain employees’ passports and travel documents once their residence permits have been issued. According to Article 4; any expatriate once dismissed from his job or quit on his own will not be allowed to re-enter the country before the elapse of two years from the date of his departure. However; this condition can be waived by the Minister of Interior; or whoever represents him. Also the department (to be designated later) in charge of enforcing the law may exempt some cases from this period based on a written permission from the expatriates’ previous sponsor; according to Article 4. The new law gives the Minister or whoever represents him the power to transfer sponsorship temporarily if there is a legal dispute between the sponsor and the expatriate worker. Read more: http://qatarliving.com/answers/visas-and-permits/6-months-ban-without-noc-could-be-.....
Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz	lol Harsha lots of tire shops dotted around Doha and many Tire Showroom on Salwa Road [img_assist|nid=50852|title=hmm|desc=|link=none|align=left|width=|height=0]
Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz	Yes Most of the branded are good like dunlop; Michelin and some others Call me tomorrow and we can go together There is one just opposite Food Palace same bldg as Al Rafa clinic [img_assist|nid=50852|title=hmm|desc=|link=none|align=left|width=|height=0]
Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz	There are tyre shops along Salwa road just past the midmac roundabout. At least 4 tyre shops there; if i'm not mistaken.
Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz	"""Gettco Trading - On Salwa Road; You will find Pirelli; Kumho; etc etc all these brands on Salwa Road just before Al Aziz Petrol Station ahead of Central Markket Round About. I would recommend you Bridgestone Tires as they seem to last for a long time and are really good for the summer. IMI - The Screen Behind The Mirror """"I object to violence because when it appears to do good; the good is only temporary; the evil it does is permanent."""" """"The best way to destroy an enemy is to make him a friend."""""""
Hey... Just wanted to check where i can get tyres for my car.. and of course at the best prices.. lol.. Cheerz	Salwa road
I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!)	try (national car rental) Al-Saad satreet; just beside nissan showroom; I just rented a small nissan with 75 qr per day;;monthly rate will be cheaper for sure
I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!)	Check the newspaper: The Peninsula Qatar; i saw an advt: abt corolla for 58 per day;
I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!)	Minimum is QR 2000/- for a good car. cheaper Rental cars are all crap and dangerous.
I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!)	For a somewhat basic car; try Petra Rent A Car on 4413-0404.
I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!)	.I just rented a 2012 Kia Picanto for a couple of days while my car was being serviced. I paid 80 per day and the car is by no means dangerous! It pulls away quickly and I feel very safe in it. Don't always think bigger is better!
I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!)	Try Oasis they are pretty good..Google oasis rent a car Doha; they have cars and price list..Good luck!
I'm sorry; I know this has been asked before a thousand times. The problem is most of the threads are 4 years old. What is the absolutely cheapest car available for rent through a reputable company? (I'm not interested in renting from anyone's friend; thanks!)	Buddy; cheaper cars on rental basis are easy to find in Qatar but the car owners make very strict conditions. i had a bad experience for finding cheaper car like you on rental basis as there was a condition that if car involves in an accident and it's not my fault; i still have to pay the rent for car for the days it stays in garage. THAT'S REDICULOUS.... Big rent a cars like AVIS; BUDGET or THRIFTY etc. you don't have to worry about any thing bcz even you crash their cars; you just have to pay small amount as these cars are fully insured rather than those small rent a cars; who are just waiting for a prey (Customer) and suck all the money you have.... May be it's just me and i don't have any intention to discourage you to get a cheaper car if budget is a concern of yours. Have a safe and joyful weekend.
I just heard that medical treatment for residents is free. And can not believe that. I heard that medical treatment for native qataris is free; which seems plausible. But does that also apply for anyone who has residence status?	"""Yes medical treatment for residents is """"free"""". You avail this with Hamad Hospital or their primary care facilities"""
I just heard that medical treatment for residents is free. And can not believe that. I heard that medical treatment for native qataris is free; which seems plausible. But does that also apply for anyone who has residence status?	what else you expect with a medical card of QR. 100 ? the pvt clinics ; which would have taken 75 for consultation and 75 for medicines.. ( for a normal light illness ) here; the health centers under HMC; give FREE consultation and the medicines costing 2 to 8 QR.. Pls check once and satisfy yourself
I just heard that medical treatment for residents is free. And can not believe that. I heard that medical treatment for native qataris is free; which seems plausible. But does that also apply for anyone who has residence status?	Compared to other clinics & Private hospitals; it's free ! specially in dentistry ! the scale is about 1:1000 !!!
I just heard that medical treatment for residents is free. And can not believe that. I heard that medical treatment for native qataris is free; which seems plausible. But does that also apply for anyone who has residence status?	Yes; with nominal charges & with all world class facilities it's just like free for all patients; injury cases; all types of surgeries & dialysis etc.
I just heard that medical treatment for residents is free. And can not believe that. I heard that medical treatment for native qataris is free; which seems plausible. But does that also apply for anyone who has residence status?	treatment is free;you pay for a health card;nominal pharmacy charges & in case of major surgery;a nominal cost for prosthesis;heart valves;etc...the quality of the treatment however is a whole different issue...as a medically qualified person;my only advice to you would be;if you're going in for major surgery in a public health facility in this country;make sure you've made out your will & settled all your affairs;the chances of you ending up in the mortuary or like a vegetable are fairly high;unless you get to pick the doctor conducting the surgery;which if you don't have the strings to pull high up;you won't get;so bottom line;free/very cheap BUT no guarantees...you have life insurance?! *wink*!!!
can one go to dubai for one week and come back here ;if he is under personal visit visa(6 month)? ... is it posible ?	What is this? You need a residence permit to go and come back like that.
can one go to dubai for one week and come back here ;if he is under personal visit visa(6 month)? ... is it posible ?	If you are under visit visa sponsored by a resident you can. Your sponsor go to immigration and request a single jorney re-entry permit (25Qr I think). You go to Dubai and then back. Just return before your visit visa expires.
	Hahahaha...i feel like talking to a 3 yr old kid!!! Yes; it does stay STILL in the AIR before landing because it has to wait for approval. If they are not approved; the pilot can just turn the plane 360 degrees without moving forward and go back to it's destination. nyahahahahah!!!! Did you notice the propeller on top of every aeroplane? That's what keeps it still before landing. Some plane have propellers on their tail as well; but those are only special types of plane developped by aliens.
	"""Certain Fighter aircraft can """"stop"""" while in flight if the pilot does certain maneuvers but during landing? Of course not. On a passenger aircraft? Of course not."""
	NO an air bus cannot stay still; at any moment during flight. The wings cross section make it such that most of the air is forced downwards and smaller fraction over the wings; pushing the plane upwards. Air must be moving toward the plane for the wing to push it below. So the aircraft must be moving towards the air; to get this effect. for the smarter ones out there; you should know that; the speed at which the air hits the wings (basically the aircraft speed plus speed of opposing wind) is proportional to the amount of lift given. helicopters are the same; only that the rotor blades; are the wings and they constantly move in at circular path.
	Commercial aircraft: No Fighter aircraft: Yes. The VTOL enabled planes can do that. VTOL= vertical take off and landing. The Harrier Jump jet is one such aircraft. Google VTOL and you will find a lot of info as well as some youtube videos.
	"""Not only can an Airbus (or any other commercial aircraft) not """"stand still"""" in the air; it must be going at least 155 knots (or approx 175 miles per hour) in order to stay in the air; relative to the wind speed. If it falls below that relative speed it will simply fall out of the air. I remember in the middle of one flight; a passenger called the flight attendant and asked; """"Why have we stopped?"""" Uhhh; ...?!"""
	Technically; a commercial jet can stay still in the air provided we cause the wind to blow at it from the opposite direction at over 600Kmph. This wind must blow towards the nose and through its wings to cause it to get lift force and thus not make any displacement relative to the ground. This wud means it has zero ground speed. An aircraft has two speeds namely groundspeed and airspeed. Airspeed is measured by the amount of air rushing thro' its sensors placed at various points on its outer body. This mechanism and physical aspect of flight is beyond the scope of this discussion and many of you won't even be able grasp the idea.
is there any temples in doha.in and around?	No temple
is there any temples in doha.in and around?	u cannot see the temple in gulf country..not possible
is there any temples in doha.in and around?	Idol worshipping is banned in Qatar as it is an Islamic country. There is church complex but no temples; etc. For further knowledge about the culture; you can visit FANAR i.e. the spiral structure in Souq area. It always welcomes visitors of all religion and nationalities.
is there any temples in doha.in and around?	Hey Riki; Dubai is the part of Gulf countries and there is one Temple....
is there any temples in doha.in and around?	Hey Riki; Dubai is the part of Gulf countries and there is one Temple....
is there any temples in doha.in and around?	Hey Riki; Dubai is the part of Gulf countries and there is one Temple....
Hi all; I am taking up an assignment in Qatar and would like to know whether it is allowed to carry photos of Indian gods to Qatar?	shouldnt be a problem. all the hindus here have photos and the idols as well. the photos and idols arent available here so they got to get it from their home country. there is also a new temple built someplace near the indian embassy where they have regular pujas; esp during the festivals. all is fine alhamdullilah. people are tolerant here. happy heart drive safe because someone is waiting for you at home
Hi all; I am taking up an assignment in Qatar and would like to know whether it is allowed to carry photos of Indian gods to Qatar?	hey no issues here in worshiping what you belive in. doha is a much liberal country.dont carry pork; porno and alchohol .welcome to doha.
Hi all; I am taking up an assignment in Qatar and would like to know whether it is allowed to carry photos of Indian gods to Qatar?	Would like to add on to Han's comment; that the prayer hall does exist; and poojas do happen very much there; if you need i could provide you contact details of the relevant persons there; so that you can be part of the festivities. But please do carry your own idol; or a photo; sudnt be an issue getting here at all. And welcome to the desert.
Does anyone know if there is a Lodge in Qatar?	Masonic lodge - no but you can easily dislodge your arm or leg at a R/A here.
	It's near the Virgin Forest.
	There is a Christian church at the Abu Hammour area where you can ask where the baptist congegration is. Come on guys; the man is asking a question. How would you feel if he does what you have done. What does your belief say? Do not do unto others what you do not want others to do to you.
Can a foreigner obtain a firearm license in Qatar? I know most of you must ask why would I need a license in Qatar; but that's all together a different argument... Please answer only if you have understanding about arms and ammunition law of Qatar.	No
when will eid start? like holidays	Ours starts tomorrow.
when will eid start? like holidays	The official holidays for Government started on Sunday and will continue untill monday;September 5th.All government offices will resume work on Tuesday September 6th.While it is mostly 3 days for the private sector with the holiday starting on the Eid day INSHA ALLAH. Eid could start tomorrow if the Shawwal moon is sighted today evening.If it isn't;then Eid will be on Wednesday INSHA ALLAH.
plaese som1 tell me when is eid??.Is it tomorrow??.	yeah... tomorrow...
plaese som1 tell me when is eid??.Is it tomorrow??.	hay eid is tomorow yeahhhhhhhhhhhhh peace :)
plaese som1 tell me when is eid??.Is it tomorrow??.	its not announced that eid is tomorrow...lets wait 4 a few more minutes
please tell me when is eid???	sunday i.e. tomorrow
I just want to ask when start of EID?	6th of November
I just want to ask when start of EID?	6th of November
I just want to ask when start of EID?	I believe it is 70 days after Eid ul-Fitr
I just want to ask when start of EID?	6th November inshallah
I just want to ask when start of EID?	7th nov
I just want to ask when start of EID?	Insha' Allaah it may be on 7th November Since the Islamic calendar is purely lunar; as opposed to solar or luni-solar; the Muslim (Hijri) year is shorter than the Gregorian year by about 11 days; and months in the Islamic (Hijri) year are not related to seasons; which are fundamentally determined by the solar cycle. This means that important Muslim festivals; which always fall in the same Hijri month; may occur in different seasons. For example; the Hajj and RamDHaan can take place in the summer as well as the winter. It is only over a 33 year cycle that lunar months take a complete turn and fall during the same season.
I just want to ask when start of EID?	FROM 6l11 - 10l11l2011
I just want to ask when start of EID?	If you are reffering to Eid Al Adha; it is 70 days after the end of the Month of Ramadan. InshaAllah; it will fall on the second week of November. hope this can enlighten you.
Can anyone tell me if i can learn to fly in Qatar?	Go after Marriott about 5kilometer there is Qatar aeronautical college you need to pass entrance exam i think. [img_assist|nid=21285|title=.|desc=|link=none|align=left|width=180|height=180]
Can anyone tell me if i can learn to fly in Qatar?	There is only center here that would teach u to fly. Its Qatar aeronautical College. Completing till CPL license will cost u half a million riyals. Ramadan on its Way.......:)
Hello; I am from Doha; and want to know about giving birth here. I am pregnant now. I need to know how much will be the cost for delivery in HMC; Doha Clinic or Al Ahli? Any help will be greatly appreciated; as I need to make a choice if I want to go India. I hope you all will help me regarding this matter.	This has been discussed lots of times earlier; suggest u use the search button for more info n opinions Regarding paying; at hamad u pay only 100 riyals per day. The private hospitals charge arnd 8000 riyals ; n more for ceasarean. Lots of people say hamad is not good ; but i had my baby girl there 6mnths ago and found it quite good. Have a healthy n enjoyable pregnancy.
Hello; I am from Doha; and want to know about giving birth here. I am pregnant now. I need to know how much will be the cost for delivery in HMC; Doha Clinic or Al Ahli? Any help will be greatly appreciated; as I need to make a choice if I want to go India. I hope you all will help me regarding this matter.	hi; i too an indian and delivered a baby girl just 4months back at DOHA CLINIC..Well to tell u frankly HMC may charge QR 200-QR 800 both for c-section and normal (not so sure)..since we were utmost cuatious with my first delivery; i opted for PRIVATE centre ; that is; DOHA CLINIC. DOHA CLINIC --- Charges for NORMAL DELIVERY is QR 6900-7300 with 2days stay including meal; nursin chrgs;consumables;medication etc etc. Charges for C-SECTION is QR 11900/- with 3-4days stay including meal; nursing chrgs;consumables; medication etc etc. Al AHLI --- I enquired about the charges only once.and as far as my memory is concerned; the charges for NORMAL SECTION is QR 8000-9000 and C-SECTION is QR 13000-14000/- HMC --- The charges r very minimal and affordable... Its upto u whether u want to go for private or govt.one..I continued going to MUMTAZAH CLINIC CENTRE till my 30weeks but then they referred me to HMC..HMC requires lots of patience and queue; i turned down the idea of delivery there..DOHA CL.....
