question	answer	label
What carseat brands are available in Qatar? I´m just not sure if I should bring the kids carseats from Norway; not sure how the airlines will treat the seats; and are a bit worried that they will break them.	We brought ours from the UK.. we just bubble wrapped it and checked it in with the rest of the lugguage simple as that. ----------------- HE WHO DARES WINS	0
What carseat brands are available in Qatar? I´m just not sure if I should bring the kids carseats from Norway; not sure how the airlines will treat the seats; and are a bit worried that they will break them.	"This is one of my pet peaves...back home (Houston; Texas) children;according to their age; must be in a car seat. Knowing that this law does not exist here and how upset I would get; my husband warned me before hand; ""Now; you're gonna see a lot of children that should be in car seats and they're not."" NOT having children in carseats; in the event of an accident; can lead to paralysis or even death. Everyone should wear their safety belts. SAD STORY: (I was a high school teacher) One of my students; Eric; had just earned a full football scholarship to the University of Texas. One night; he was in the backseat of a mid-size car and had fallen asleep and was not wearing his seat belt. The driver of the car Eric was in was in an accident..another driver had run a red light and side swiped their car. Eric was the only one rushed to the hopital. The others had been wearing their seatbelts and were not injured. Eric was paralyzed. Consequently; he was not able to play ball for UT. The UT law....."	0
What carseat brands are available in Qatar? I´m just not sure if I should bring the kids carseats from Norway; not sure how the airlines will treat the seats; and are a bit worried that they will break them.	"""dgoodrebel will always be the rebellious good one"""	0
What carseat brands are available in Qatar? I´m just not sure if I should bring the kids carseats from Norway; not sure how the airlines will treat the seats; and are a bit worried that they will break them.	Cynbob: My children are not to ride in a car without the right carseats. My first thought was to leave my car seats her in Norway; so that when we come for a visit the grandparents have seats for them. If I can´t be sure to get well known car seats in Qatar; I will bring the seats that we have here. A little more luggage; but nothing is more important than the safety of the children.	0
Any one knows; Is it allowed to keep one year old kid in the lap of her mom in the front seat( not in the driving seat; of course)?	no anyone under 10 is not alowed to sit infront.	1
Any one knows; Is it allowed to keep one year old kid in the lap of her mom in the front seat( not in the driving seat; of course)?	"no it is against the new driving laws thank God ""I fight with love and I laugh with rage; you have to live light enough to see the humor and long enough to see some change."" Ani Difranco"	1
Any one knows; Is it allowed to keep one year old kid in the lap of her mom in the front seat( not in the driving seat; of course)?	I guess the first question would be-why would you??? But; you cannot have your children in the front seat with you.	1
any private beaches in Qatar?let me know if i can take my booze for beach party	While Going to Shammal after 40 KM from Doha you will find Al Gawariya resort; Beautiful on Sea Side and Open Beach to Play around;you will love to go again and again; Have Fun.	1
any private beaches in Qatar?let me know if i can take my booze for beach party	There is a private beach on North (shamal) road at 83 exit. the place name is ghaariya. you have to take right at this exit and go further 1 km till you reach an intersection. in this intersection again take right and go further until first left comes. on first left you r gonna see a big radar anteena. the private beach is just beside this big anteena. Note: this beach is either for couples or families.	1
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	you can go to Al Naseer St. near the traffic light at leftside before you reach Family Food Center	0
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	Also at an aquarium near vegetable market in salwa road.	0
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	At Fareej Abdul Aziz at the corner of the stop light right across the petrol station.	0
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	you may find different types of fish and gold fish in AQUA ART shop along salwa road just opposite of Hardees.	1
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	Animal Kingdom down Al Magarb street; quite a decent choice there.	0
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	One shop petshop on traffic juction @ Al Nasir / The restorant area.	0
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	Hi; Recently I bought golden fish from a shop at Almarkhia complex near Almarkhia Roundabout. I cant recall the shop name but you can easily find it. Hope that help. best regards	0
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	The shop name is Goldenfish leading to mansoora from Najma area. The Tel no.4310304 ask for Aseela. I myself bought from them very good and very resonable price. They have acqatic plants too.	1
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	Also try Souq Waqif..	2
i tried getting contact numbers of a couple of places; but they wouldnt answer the phone!	you can go to al nasser area beside family food center you can find different kind of fish... anyway if you cannot find there just go to fish market....joke dude...	2
Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks	Hemoglobin is the protein molecule in red blood cells that carries oxygen from the lungs to the body's tissues and returns carbon dioxide from the tissues to the lungs. The iron contained in hemoglobin is responsible for the red color of blood. You should eat Alot of green vegitables and salads; your HB will come up dont worry...	1
Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks	Heamoglobin is a component of the blood. If you are deficient in it; it means that if you have an accident or cut yourself; you will bleed easier and for a longer period of time.	1
Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks	Homoglobin is a prejudice against globin....... Its actually haemoglobin; a deficiency can be due to many factors.....if you are deficient you are known as being anaemic...google it for more details....	1
Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks	Hi; I am sure most of the guyz answered your query; if you need more details; read the follwoing: The role of the red blood cells is to carry oxygen through the body. The red blood cells can perform this task because of the presence of hemoglobin; the pigment that is formed when the red blood cells develop in the bone marrow. Each hemoglobin molecule is made up of a protein molecule called globin and four pigmented molecules of a compound called heme. Each heme molecule has one atom of iron; and there are four heme molecules in a single molecule of hemoglobin; hence; a single molecule of hemoglobin has four atoms of iron. This structure makes it possible for one hemoglobin molecule to join with four oxygen molecules to form a substance called oxyhemoglobin. This reaction is reversible; enabling hemoglobin to pick up oxygen when the blood is in the lungs and to release oxygen in the cells when the blood is pumped to the tissues. In general; the blood of men usually has a greater concent.....	1
Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks	"Hemoglobin is a protein that is carried by red cells. It picks up oxygen in the lungs and delivers it to the peripheral tissues to maintain the viability of cells. Hemoglobin is made from two similar proteins that ""stick together"". Both proteins must be present for the hemoglobin to pick up and release oxygen normally. One of the component proteins is called alpha; the other is beta. Before birth; the beta protein is not expressed. A hemoglobin protein found only during fetal development; called gamma; substitutes up until birth."	1
Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks	Hemoglobin is the protein molecule in red blood cells that carries oxygen from the lungs to Heart and to continue the Inhaling and Exhaling Proccess. They are responsible of Healing any kind of cut ; they stop the blood flow and they are also reponsible to open any kind of plaque inside vains to prevent heart attacks. IF you smoke Hemoglobin will carry the necotin every where it goes because Necotine get stuck on the hemoglobin and reduce its functions so the hemoglobin wont be holding much oxygen in every breathing proccess thats why we see people who smokes breathes more than natural people when they do any activity . There body needs Oxygen but the hemo. aint functioning in the way they have to .	1
Please anone explain me regading Homoglobin bcz Doctor told me your homoglobin is low! thanks	"Hemoglabin is one of spideman's enemy.. oh i think that's greengoblin. just kidding; Definition of Hemoglabin Hem""o*glo""bin (?); n. [Hemo- + globe.] (Physiol.) The normal coloring matter of the red blood corpuscles of vertebrate animals. It is composed of hematin and globulin; and is also called hæmatoglobulin. In arterial blood; it is always combined with oxygen; and is then called oxyhemoglobin. It crystallizes under different forms from different animals; and when crystallized; is called hæmatocrystallin."	1
Hello to all! To get rid of my collected old bottles; paper; glasses and so on i ask you - Where can I find some recycling places in Doha? I know this sphere is not very advanced in that state. Please tell me exact locations; with things I can bring to and if necessary the business hours! p.s. Please no discussion about the usefulness of recycling. I want to do it anyway!!!	try to contact Q Clean	2
Hello to all! To get rid of my collected old bottles; paper; glasses and so on i ask you - Where can I find some recycling places in Doha? I know this sphere is not very advanced in that state. Please tell me exact locations; with things I can bring to and if necessary the business hours! p.s. Please no discussion about the usefulness of recycling. I want to do it anyway!!!	Al Bidda park has recycling bins for paper; plastic and glass. The recycling bins are located towards the back of the park; on the opposite side of the Corniche. Hope that helps!	1
Hello to all! To get rid of my collected old bottles; paper; glasses and so on i ask you - Where can I find some recycling places in Doha? I know this sphere is not very advanced in that state. Please tell me exact locations; with things I can bring to and if necessary the business hours! p.s. Please no discussion about the usefulness of recycling. I want to do it anyway!!!	thats right + we also have got recycle thing is Dahal al hamam park wch is close to landmark mall x	1
Hello to all! To get rid of my collected old bottles; paper; glasses and so on i ask you - Where can I find some recycling places in Doha? I know this sphere is not very advanced in that state. Please tell me exact locations; with things I can bring to and if necessary the business hours! p.s. Please no discussion about the usefulness of recycling. I want to do it anyway!!!	There are recycling bins for plastic and paper in education city too. But park is better idea as there are bins for aluminium and glass as well. I think there should be a recycling awareness campaign on QL.	1
Hi; Just wanted to confirm Qatar's National Day. Is it 18th of December? Thanks.	yes; it is 18th Dec.	1
Hi; Just wanted to confirm Qatar's National Day. Is it 18th of December? Thanks.	Yes its 18th December.(Before it was September 3)	1
Hi; Just wanted to confirm Qatar's National Day. Is it 18th of December? Thanks.	Confirmed ______________________________________________________ Love is the answer...	1
Hi; Just wanted to confirm Qatar's National Day. Is it 18th of December? Thanks.	"It surely is 18th Dec but plz can someone tell me how can national day of any country change ever ?? ..**.. """"They walk among us. They vote & they even reproduce"""" ..**.."	1
Hi; Just wanted to confirm Qatar's National Day. Is it 18th of December? Thanks.	Day 18 December is the actual day of founding the State of Qatar and on September 3 is on independence Day which qatar was free from from British colonialism . For those who say that Qatar has not changed ;then I must say you are new to the country ;have you ever been to alwasil before 5 years??did you see the diplomatic area before 5 years??? If not go and have a look my friend!	1
How to get to US Embassy Qatar? I am set for an appointment and I do not know the driving directions. Need your help :) Thanks in advance!	if you are coming from LULU GARAFA new high way road side to... there coming madinat khalifa bridge..after cross it may be 400m to 600m in your right hand side...ok....if you cont reach there so do contact with me 77501650. thank you	1
How to get to US Embassy Qatar? I am set for an appointment and I do not know the driving directions. Need your help :) Thanks in advance!	you should state your point of origin. Or follow the instructions as above mentioned: open google maps; google for US embassy in qatar and folow the directions to get there http://maps.google.com/maps/ms?ie=UTF8&t=h&hl=en&msa=0&msid=203872640511665582080.0004a1421d694fcb7ddda&ll=25.299338;51.443481&spn=0.066735;0.175095&z=13 Regards!!	1
How to get to US Embassy Qatar? I am set for an appointment and I do not know the driving directions. Need your help :) Thanks in advance!	Comimg from Villagiio down to Al Saad; take the left turn on MOBIL Petrol Station Signal (it will be on ur right hand; there is also SIXT Rental Car); take left from that signal...then you drive straight I guess around 3 roundabouts...I dont remember exactly unfortunately. Then you take a right turn till the end of the road and make again right...you will be on the new road; but take the side road and drive straight. The Embassy will be on your right hand. Please make sure with the map; I just gave you approx.direction. I was there on October; cant remember the exact turns. Good luck!	2
How to get to US Embassy Qatar? I am set for an appointment and I do not know the driving directions. Need your help :) Thanks in advance!	If you are coming to the Roundabout passports from the city of Doha Turn to the left of the roundabout to the new road Will find the location of the embassy to the right of the street after the 1000 km	2
How to get to US Embassy Qatar? I am set for an appointment and I do not know the driving directions. Need your help :) Thanks in advance!	If your coming from Outer Space you need to find the Virgo Supercluster first; then within that the Virgo cluster. Once you found that look out for the Local Group. In there is the Milky Way galaxy. Some 27.000 lightyears from the center is a small star with eight planets. Go to the third one from the sun and find the continent of Asia. Look at the western portion and identify Qatar. Then find Doha. Once you are in Doha and found the Land Mark Mall enter the new highway. You will soon see the American Embassy on your right. If you pass it you have to do it all again.	0
Hi; please can you help; My wife does not have NOC from Qatar Airways; but we are married now so can i bring her legally on my family visa as her husband? Thanks!	yes it is possible .new married certificate need to be attested from embassy and foregin affairs qatar thats all. its possible .for ladies this doesnt matter	2
Hi; please can you help; My wife does not have NOC from Qatar Airways; but we are married now so can i bring her legally on my family visa as her husband? Thanks!	Yes you can.	2
Hi; please can you help; My wife does not have NOC from Qatar Airways; but we are married now so can i bring her legally on my family visa as her husband? Thanks!	As long as she doesn't intend to work during the time that she is oficially 'banned' (from working = 2 years from cancellation of her work visa) she can enter the country legally on your sponsorship (spouse dependent visa).	2
Hi; please can you help; My wife does not have NOC from Qatar Airways; but we are married now so can i bring her legally on my family visa as her husband? Thanks!	Yes you can kapila. Easy to do - you just need to give the new sponsor (when she finds a job) a no-objection letter which states that you allow her to take up employment.	2
Friends Anybody knows anything about Disco bars in qatar? Thanks	QUBE. Rocking. Jammed pack aroud 3000 ppl every night. QL ladies love this joint.	2
Does anyone know if there is a French speaking nursery in Doha? If so do you have contact details? Thanks Percy	There is a French School here. Don't know the ages but my neighbor's 3 yr old goes there. Also; Tots Corner Nursery has French and Arabic lessons. Tots Corner - 468 8008 totscorner@qatar.net.qa (email) French School - 496 4300 lfdsecr@qatar.net.qa	1
Does anyone know if there is a French speaking nursery in Doha? If so do you have contact details? Thanks Percy	My friends in Doha register their daughter to perles d'avenir nursery and they really recommend me. I was suspicious about the nurseries in Qatar; in security; hygien; education... I really took time to decide and after tryed in Perles d'Avenir; I am amazingly happy and assured. It's a wonderful environnement with honest; open mind; communication; and strict norm of hygien; security; healthy... I really love this place for my best thing that I never had : my daughter ! And what else for her that the best of caring !!! I Really RECOMMEND ! For anyone interested; they have website www.perlesdavenirqat... (it's in french; few things in english or contact them -phone on website)	1
Does anyone know if there is a French speaking nursery in Doha? If so do you have contact details? Thanks Percy	I registered my child and I love so much this nursery; i'm very happy to find a place there ! I have the phone of Perles d'avenir Nursery is 44817611.	1
Does anyone know if there is a French speaking nursery in Doha? If so do you have contact details? Thanks Percy	I registered my child and I love so much this nursery; i'm very happy to find a place there ! I have the phone of Perles d'avenir Nursery is 44817611.	1
Hi all; are hepatitis B & C checked for in the medical test for non-medical professionals? Basically;I have been getting conflicting information on this. Some say that Hep B & C are tested for everyone applying for residence permit. Others say that only medical professionals; primary school teachers and food handlers are tested for Hep B & C. Please discuss!	Medical Check is for everyone mate ---------------------------------------------------------------- Give me some SunShine......Give me some Rain Give me another Chance...I wanna grow up once Again	1
Hi all; are hepatitis B & C checked for in the medical test for non-medical professionals? Basically;I have been getting conflicting information on this. Some say that Hep B & C are tested for everyone applying for residence permit. Others say that only medical professionals; primary school teachers and food handlers are tested for Hep B & C. Please discuss!	The test is done for everyone; but is restricted to the above categories u mentioned.	2
Hi all; are hepatitis B & C checked for in the medical test for non-medical professionals? Basically;I have been getting conflicting information on this. Some say that Hep B & C are tested for everyone applying for residence permit. Others say that only medical professionals; primary school teachers and food handlers are tested for Hep B & C. Please discuss!	Regardless what your job is...everybody gets tested for hepatitis B/C cheers Never say never	1
Hi all; are hepatitis B & C checked for in the medical test for non-medical professionals? Basically;I have been getting conflicting information on this. Some say that Hep B & C are tested for everyone applying for residence permit. Others say that only medical professionals; primary school teachers and food handlers are tested for Hep B & C. Please discuss!	"As I told u hepatitis B/C are checked for everyone applying for residence permit.If the result is positive u go back where u came from. And I know all of the above because my husband is a consultant pathologist. cheers --------------------------------------------------------- ""Never say never"""	1
I have visiting visa for work; so can I drive; I have egyptian license?	No you cannot.. If you have international driving license you can... Anyway I don't know exactly just check with RENT A CAR shop near by your area..	2
I have visiting visa for work; so can I drive; I have egyptian license?	No you cannot.. If you have international driving license you can... Anyway I don't know exactly just check with RENT A CAR shop near by your area..	2
I have visiting visa for work; so can I drive; I have egyptian license?	NO. you cant drive with other then GCC license. I also think that I can but law is clear. You need to make all procedure to exchange or make Qatari an driving license. Be sure all stories that you can drive is wrong. If you make any accident then you will see the problems. Best wishes. p.s. if you go to make driving license and you fall...make like I was...give to Sudani man big boss there some money and this is it. I give 1000 QAR and in 3 time I get licence. This is not secret just life in Doha. Corruption every where. Can you imagine that I fall 2 times at driving tests like I dont know how to drive... I have in my 50 years more then 20 diff. nice good cars... and I have more then 26 years driver lic. and more then 1.000.000 km behind me in all Europe countries... Not like new comer Indian people who use bicycle before and now make so many accident in Doha. Every day I see 5-6 accident. Driver? So sorry just true-Indian. GOod luck in driving with proper documents. Penalty is tooooo .....	2
I have visiting visa for work; so can I drive; I have egyptian license?	If you are on a visiting Visa and and you have an international driver license you can use it for 6 month I guess. If you get the permanent residence you can not use the Int driver license anymore.	1
I have visiting visa for work; so can I drive; I have egyptian license?	Mr.Calculator consumes major space for the same answer which is not helping the person with right answer?!; you can not drive a car with Egypitian licence here; as a visitor first 10 days you can drive but later you need to take a temporary driving licence for 3 months. you have to pay 100 riyal for every month and need to take eye-test for this licence.	2
I have visiting visa for work; so can I drive; I have egyptian license?	No; you cannot drive; you should have a GCC license not Egyptian.	2
I visiting Doha for a week and intend to rent a car. Is it legal to drive using USA Driver License or do I need and international one?	The Rental companies ask for an International License.	2
I visiting Doha for a week and intend to rent a car. Is it legal to drive using USA Driver License or do I need and international one?	get international Driver License.	2
I visiting Doha for a week and intend to rent a car. Is it legal to drive using USA Driver License or do I need and international one?	Even if you have a International License; you need to get a temporary license from Traffic Department. When you are in Doha; get the application for temporary license and submit it to the Madinat Khalifa Traffic Department along with copy of your US license and passport pages showing your identity and visa page You might need to get an NOC from the sponsor (Typed in Arabic) if you visit here under visa from some company or sponsor. Best way is to ask the rental car company to assist you to get it.	2
I visiting Doha for a week and intend to rent a car. Is it legal to drive using USA Driver License or do I need and international one?	If you in vist visa you can drive; but if you want to cavnt to qatari ; so you can apply easly just vist to traffic dept and ask for new one.	1
I visiting Doha for a week and intend to rent a car. Is it legal to drive using USA Driver License or do I need and international one?	Supposedly the US license is good for (7) days. An international license is good for (6) months. They are easily obtained from AAA for about $15. After (6) months and likely before then you would need to go for a Qatar drivers license.	1
I visiting Doha for a week and intend to rent a car. Is it legal to drive using USA Driver License or do I need and international one?	I recommend that you go to a AAA agency and get an international license. Driving here in Doha is pretty dangerous- so I recommend you take every measure to protect yourself. It is pretty easy and not costly. See you when you get here!	0
Hello QatarLiving! My family and I will be away for vacation. PLEASE tell me about the reliable places in Doha where you put your dog in when you’re out of town!! I don’t know where to take him and I don’t trust anyone to do that for me :-(	Call Paul Hensen. His number 487 7144 and mobile 667 5235. You can say Sam's mum recommended him (his daughter and my son in the same class at school).	1
Hello QatarLiving! My family and I will be away for vacation. PLEASE tell me about the reliable places in Doha where you put your dog in when you’re out of town!! I don’t know where to take him and I don’t trust anyone to do that for me :-(	"Ok; I have a cat. But we take him to Pampered Pets whenever we travel. They also board dogs... The do a great job; and I know lots of people who take their animals there. If your dog is social; he can play with the other dogs each day. If not; he can stay by himself. They cater to each individual animal and know them by name. (I'm ""Rackety's owner""-- they know him; not me!) The only catch is that they book up really far in advance. Call as far in advance as you can to book your space. Website: www.ppkdoha.com You can see photos of the place and get all the details there. They are way out of town; but will pick up your dog if you can't make it out there."	2
Hello QatarLiving! My family and I will be away for vacation. PLEASE tell me about the reliable places in Doha where you put your dog in when you’re out of town!! I don’t know where to take him and I don’t trust anyone to do that for me :-(	Calle Poppy - Janet from Paws and Claws. Her number is 528 6335. She might still have place. When you go away you should idealy book your dogs in early in the year; because at this time the places are almost fully booked up. X	1
i want someone to share my life with... but i want labrador retriever.. is there any chance i can find here in qatar?	Check out QAWS. they have quite a few dogs for adoption.	1
i want someone to share my life with... but i want labrador retriever.. is there any chance i can find here in qatar?	hi i currently have a labradore puppy which is 1 and a half years old she is very healthy and if u want her call 33176116	0
Hello guys..I want to take NHA licensure(Nurse) here in Qatar but I dont have any work experience in the Philippines..I'm currently working here now as a nurse in a construction company for almost 1yr..Will NHA allowed me to take licensure here even if I don't have the necessary experience required? Help please..thanks a lot and godbless..	You must have two years of work experience to apply for the license. You can work for another year and carry on with it. Since you are on company sponsorship I think you can work for another year and then apply. Hope this helps	2
Hello guys..I want to take NHA licensure(Nurse) here in Qatar but I dont have any work experience in the Philippines..I'm currently working here now as a nurse in a construction company for almost 1yr..Will NHA allowed me to take licensure here even if I don't have the necessary experience required? Help please..thanks a lot and godbless..	You might have a problem getting an NHA license because of lack of experience. Your employer might even be in trouble for employing you even though you don't have a license to work as nurse here in Qatar.	1
Hello guys..I want to take NHA licensure(Nurse) here in Qatar but I dont have any work experience in the Philippines..I'm currently working here now as a nurse in a construction company for almost 1yr..Will NHA allowed me to take licensure here even if I don't have the necessary experience required? Help please..thanks a lot and godbless..	You shouldn't be working ANYWHERE in Qatar WITHOUT an NHA license;so continuing in your current job for another year & then showing that to NHA as work experience may not be the best idea because as of now you are working ILLEGALLY!...you need to have minimum 2 years work experience OUTSIDE Qatar before coming here;if you could be employed legally here without an NHA license;what's the point of them conducting the exam???...so if you want to legally work in Qatar;go back to your home country(doesn't matter where as long as you work LEGALLY.);get two years LEGAL work experience then come back here;get your degree;certificates & work experience reviewed by Dataflow;then apply to take the licensure exam...	1
Hello guys..I want to take NHA licensure(Nurse) here in Qatar but I dont have any work experience in the Philippines..I'm currently working here now as a nurse in a construction company for almost 1yr..Will NHA allowed me to take licensure here even if I don't have the necessary experience required? Help please..thanks a lot and godbless..	I think work experience is not a prerequisite for taking the NHA exam that is now handled by Prometric. You can try to schedule the exam online. However; there's no point of taking the exam without the required work experience since it is one of the requirements to get NHA license. Moreover; if you pass the exam; the validity is only for 2 years; otherwise you have to take it again.	1
